Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
3841,32,technician,married,secondary,no,5122,no,no,cellular,13,aug,31,1,-1,0,unknown,no
4328,49,admin.,married,secondary,no,3608,yes,no,unknown,13,nov,231,1,-1,0,unknown,yes
704,59,retired,married,unknown,no,1033,no,no,unknown,11,jun,1199,1,-1,0,unknown,yes
2845,44,management,married,tertiary,no,1058,no,no,cellular,11,mar,188,3,-1,0,unknown,yes
153,55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
2099,52,management,married,tertiary,no,6922,no,no,cellular,20,nov,371,1,-1,0,unknown,no
801,30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218,1,330,2,failure,no
3708,35,management,divorced,tertiary,no,473,no,yes,cellular,5,aug,37,2,-1,0,unknown,no
3470,34,technician,single,secondary,no,0,yes,yes,unknown,16,may,214,1,-1,0,unknown,no
2322,35,blue-collar,married,primary,no,46,no,no,cellular,8,jul,338,3,-1,0,unknown,no
4172,36,services,single,secondary,no,760,no,no,unknown,20,jun,9,13,-1,0,unknown,no
452,27,technician,married,secondary,no,1577,yes,yes,unknown,28,may,266,2,-1,0,unknown,no
2469,57,retired,married,primary,no,1623,yes,yes,cellular,18,jul,246,1,-1,0,unknown,no
3373,28,admin.,single,tertiary,no,14,no,no,cellular,1,jun,201,1,-1,0,unknown,no
719,39,blue-collar,married,secondary,no,1045,yes,yes,cellular,9,jul,290,13,-1,0,unknown,no
2267,30,blue-collar,single,primary,no,185,no,no,unknown,26,jun,11,1,-1,0,unknown,no
4161,39,self-employed,single,unknown,no,0,no,no,unknown,20,jun,13,11,-1,0,unknown,no
303,35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,jul,330,2,-1,0,unknown,no
2923,39,admin.,married,secondary,no,260,yes,no,cellular,17,apr,146,1,281,1,failure,no
876,33,entrepreneur,married,tertiary,no,595,no,no,cellular,7,aug,22,2,-1,0,unknown,no
721,31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380,1,-1,0,unknown,no
2403,42,technician,married,secondary,no,1048,yes,no,telephone,6,feb,23,2,-1,0,unknown,no
2191,48,management,married,tertiary,no,363,no,no,cellular,18,nov,67,1,-1,0,unknown,no
4366,59,retired,married,secondary,no,0,no,no,unknown,5,jun,812,1,-1,0,unknown,yes
2389,53,technician,married,tertiary,no,6072,no,yes,unknown,16,jun,226,4,-1,0,unknown,no
3903,56,blue-collar,married,primary,no,420,yes,no,unknown,9,may,76,1,-1,0,unknown,no
2507,42,unemployed,single,secondary,no,2613,yes,no,cellular,30,jul,174,6,-1,0,unknown,no
1575,34,blue-collar,single,primary,no,464,yes,no,cellular,18,may,173,1,299,2,other,no
1118,60,retired,married,secondary,no,4820,no,no,unknown,5,jun,419,1,-1,0,unknown,no
4139,51,blue-collar,divorced,secondary,no,1069,yes,no,unknown,30,may,247,2,-1,0,unknown,no
1707,30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66,1,85,5,other,no
3465,38,blue-collar,married,secondary,no,5092,yes,no,unknown,17,jun,145,6,-1,0,unknown,no
2829,27,blue-collar,married,secondary,no,818,yes,no,unknown,3,jun,188,5,-1,0,unknown,no
2006,51,blue-collar,married,primary,no,1869,no,no,unknown,17,jun,30,3,-1,0,unknown,no
449,39,entrepreneur,married,tertiary,no,2,yes,no,cellular,17,nov,180,1,-1,0,unknown,no
4236,31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes
1102,48,management,married,tertiary,no,7289,yes,no,cellular,2,feb,316,3,-1,0,unknown,no
675,37,technician,married,secondary,no,64,yes,no,cellular,12,may,239,4,278,2,other,no
4256,34,housemaid,married,primary,no,2929,no,no,cellular,14,aug,518,2,-1,0,unknown,yes
3562,31,technician,single,tertiary,no,424,no,no,cellular,21,aug,93,2,-1,0,unknown,no
1544,35,management,married,tertiary,no,1100,no,yes,cellular,29,jan,127,2,-1,0,unknown,no
638,35,blue-collar,divorced,secondary,no,275,no,yes,cellular,10,jul,144,5,-1,0,unknown,no
2073,33,blue-collar,single,secondary,no,697,no,no,cellular,6,feb,860,2,-1,0,unknown,yes
1588,37,management,single,tertiary,no,815,yes,no,cellular,7,may,77,1,-1,0,unknown,no
735,30,services,single,secondary,no,566,no,no,cellular,5,feb,110,1,-1,0,unknown,no
552,63,retired,married,secondary,no,2747,no,no,cellular,11,sep,113,1,80,1,failure,no
1422,79,retired,married,secondary,no,4738,no,no,telephone,9,jul,151,5,-1,0,unknown,no
595,28,entrepreneur,married,unknown,no,1034,no,no,cellular,29,jan,113,1,-1,0,unknown,no
3193,76,retired,divorced,primary,no,86,no,no,cellular,12,aug,192,1,-1,0,unknown,no
3917,36,technician,single,secondary,yes,12,no,no,cellular,12,aug,587,2,-1,0,unknown,yes
1023,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
1343,47,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91,1,100,2,other,yes
2398,51,entrepreneur,married,secondary,yes,-2082,no,yes,cellular,28,jul,123,6,-1,0,unknown,no
2134,58,retired,married,secondary,no,425,yes,yes,cellular,17,nov,100,1,-1,0,unknown,no
382,59,retired,married,tertiary,no,9676,no,no,telephone,27,mar,234,2,-1,0,unknown,yes
3147,52,unemployed,married,secondary,no,-9,no,no,unknown,9,jun,123,1,-1,0,unknown,no
2210,34,entrepreneur,married,tertiary,no,4343,no,no,unknown,9,jun,85,4,-1,0,unknown,no
1556,55,management,married,primary,no,229,no,yes,unknown,9,jun,175,3,-1,0,unknown,no
4481,43,services,married,secondary,no,642,no,no,cellular,31,jul,644,2,-1,0,unknown,no
1049,25,services,married,secondary,no,72,yes,no,cellular,23,jul,305,2,-1,0,unknown,no
741,28,management,single,secondary,no,1633,no,no,cellular,5,jun,275,1,-1,0,unknown,yes
2553,33,management,married,tertiary,no,1064,yes,no,cellular,13,may,562,1,-1,0,unknown,yes
3263,35,management,married,tertiary,no,24,yes,no,cellular,8,apr,169,1,231,2,failure,no
1908,44,technician,single,secondary,no,-27,yes,yes,unknown,14,may,100,3,-1,0,unknown,no
3172,55,management,divorced,tertiary,no,481,yes,no,telephone,8,may,147,2,298,3,failure,no
791,41,management,married,tertiary,no,3016,yes,no,cellular,14,jul,80,3,-1,0,unknown,no
2459,46,housemaid,married,primary,no,0,no,no,telephone,2,feb,161,1,-1,0,unknown,no
435,55,entrepreneur,divorced,tertiary,no,0,no,no,unknown,6,jun,108,2,-1,0,unknown,no
739,46,services,married,secondary,no,1034,no,no,cellular,8,aug,109,2,-1,0,unknown,no
2883,46,self-employed,married,tertiary,no,1148,no,no,telephone,29,jul,104,2,-1,0,unknown,no
1765,32,blue-collar,single,secondary,no,2,no,no,unknown,9,may,144,2,-1,0,unknown,no
1654,44,blue-collar,married,primary,no,-312,yes,no,unknown,20,jun,22,3,-1,0,unknown,no
1289,48,admin.,married,primary,no,607,no,no,unknown,20,jun,29,2,-1,0,unknown,no
1135,57,retired,married,tertiary,no,0,yes,yes,unknown,28,may,648,1,-1,0,unknown,yes
3138,36,management,married,tertiary,no,23,no,no,cellular,26,aug,133,11,-1,0,unknown,no
3278,59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,207,2,153,1,failure,no
3918,45,technician,married,secondary,no,49,no,no,cellular,29,jul,65,2,-1,0,unknown,no
92,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
3077,45,entrepreneur,married,secondary,no,128,no,yes,cellular,18,nov,275,2,-1,0,unknown,no
2740,26,unemployed,single,secondary,no,461,no,no,cellular,28,jan,214,1,-1,0,unknown,no
3493,36,management,single,tertiary,no,-679,yes,yes,cellular,7,may,172,1,93,1,failure,no
2464,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes
1624,58,technician,married,secondary,no,116,no,no,unknown,16,jun,580,3,-1,0,unknown,no
828,47,unemployed,married,primary,no,168,yes,no,telephone,30,jan,66,1,241,1,other,no
2089,38,management,single,tertiary,no,104,yes,no,cellular,6,may,606,3,-1,0,unknown,yes
2920,24,blue-collar,married,secondary,no,9,yes,no,unknown,27,may,292,7,-1,0,unknown,no
2907,44,technician,married,tertiary,no,1707,no,no,cellular,8,aug,406,3,-1,0,unknown,no
1701,29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95,1,-1,0,unknown,no
2336,35,management,married,tertiary,no,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no
3886,36,management,single,tertiary,no,678,no,yes,unknown,4,jul,85,3,-1,0,unknown,no
326,51,unemployed,married,secondary,no,1760,no,yes,cellular,19,nov,162,1,-1,0,unknown,no
1280,30,technician,single,tertiary,no,236,yes,no,unknown,16,may,197,1,-1,0,unknown,no
322,60,self-employed,single,tertiary,no,179,no,yes,cellular,29,jul,79,4,-1,0,unknown,no
388,32,blue-collar,married,secondary,no,1005,no,no,cellular,12,may,215,1,-1,0,unknown,no
3983,40,technician,divorced,tertiary,no,1871,yes,no,cellular,17,nov,64,1,-1,0,unknown,no
4052,52,unemployed,married,primary,no,20,yes,no,telephone,28,jan,172,1,-1,0,unknown,no
3673,36,entrepreneur,married,tertiary,no,3057,no,no,unknown,16,jun,2769,4,-1,0,unknown,yes
671,44,technician,married,secondary,no,310,yes,no,cellular,6,feb,200,1,253,1,failure,no
3428,29,self-employed,married,tertiary,no,1,no,no,cellular,18,jul,167,3,-1,0,unknown,no
3455,33,technician,divorced,secondary,yes,-305,no,yes,unknown,9,may,109,1,-1,0,unknown,no
3799,31,blue-collar,married,secondary,no,1664,yes,no,cellular,20,apr,158,1,182,1,success,no
9,43,services,married,primary,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no
650,33,housemaid,single,tertiary,no,23663,yes,no,cellular,16,apr,199,2,146,2,failure,no
3358,35,management,married,tertiary,no,365,no,no,cellular,21,nov,168,2,-1,0,unknown,no
1923,66,retired,married,secondary,no,4785,no,no,cellular,13,aug,72,3,-1,0,unknown,no
1784,50,blue-collar,married,secondary,no,810,yes,no,unknown,14,may,19,14,-1,0,unknown,no
3543,39,technician,married,secondary,no,6,yes,no,cellular,18,may,122,3,357,4,failure,no
2348,30,management,single,tertiary,no,940,no,no,cellular,8,aug,131,2,-1,0,unknown,no
3704,36,blue-collar,married,secondary,no,199,yes,no,cellular,9,jul,183,1,-1,0,unknown,no
825,31,entrepreneur,single,tertiary,no,1957,no,no,cellular,4,feb,112,3,-1,0,unknown,no
3209,50,services,married,secondary,no,60,no,yes,cellular,27,aug,151,8,-1,0,unknown,no
3057,29,technician,married,tertiary,no,43,yes,no,unknown,20,may,68,2,-1,0,unknown,no
618,30,technician,married,tertiary,no,1570,yes,no,cellular,26,may,260,1,-1,0,unknown,no
3132,53,self-employed,married,tertiary,no,451,yes,no,cellular,2,feb,125,1,249,2,failure,no
1934,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
2941,36,admin.,single,secondary,no,47,no,yes,cellular,9,jul,36,6,-1,0,unknown,no
4367,29,management,single,tertiary,no,4210,yes,no,cellular,18,may,119,1,-1,0,unknown,no
3675,33,management,single,tertiary,no,349,no,no,cellular,22,aug,182,1,-1,0,unknown,no
2556,34,admin.,divorced,secondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
4084,45,unemployed,married,primary,no,180,yes,yes,unknown,27,may,62,2,-1,0,unknown,no
1534,54,management,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,1034,1,-1,0,unknown,yes
2335,33,admin.,single,tertiary,no,490,yes,no,cellular,7,may,31,1,363,2,failure,no
3205,77,retired,married,primary,no,680,no,no,telephone,27,nov,341,4,94,3,failure,no
547,54,management,married,tertiary,no,0,no,no,cellular,16,jul,118,5,-1,0,unknown,no
3092,46,management,married,tertiary,no,523,yes,no,cellular,6,may,105,4,366,2,failure,no
2075,69,retired,married,tertiary,no,473,no,no,cellular,7,jul,112,1,78,1,failure,no
3213,49,admin.,married,secondary,no,13229,no,yes,telephone,8,jul,77,2,-1,0,unknown,no
2417,62,management,married,tertiary,no,0,no,no,cellular,13,oct,78,3,-1,0,unknown,no
3416,30,management,single,tertiary,no,47,no,yes,cellular,31,jul,11,17,-1,0,unknown,no
315,30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395,2,-1,0,unknown,no
3940,24,student,single,secondary,no,1847,no,no,cellular,9,dec,390,1,-1,0,unknown,no
1428,42,services,married,secondary,no,292,yes,no,cellular,11,may,222,3,-1,0,unknown,no
1823,35,technician,divorced,secondary,no,473,yes,yes,unknown,26,may,434,4,-1,0,unknown,no
2014,74,retired,divorced,secondary,no,4079,no,no,cellular,19,oct,343,3,-1,0,unknown,yes
3559,36,admin.,single,secondary,no,319,yes,no,cellular,18,may,120,2,-1,0,unknown,no
135,33,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
2414,52,technician,married,secondary,no,118,no,no,cellular,28,aug,16,20,-1,0,unknown,no
3184,34,management,single,tertiary,no,5086,no,no,cellular,25,may,213,4,-1,0,unknown,yes
2064,36,management,single,tertiary,no,2806,yes,no,unknown,30,may,358,4,-1,0,unknown,no
3801,48,technician,married,secondary,no,7020,no,no,cellular,6,aug,80,2,-1,0,unknown,no
1421,28,admin.,married,secondary,no,-97,yes,no,cellular,29,jan,79,1,225,2,success,no
3012,36,services,married,secondary,no,-11,yes,no,cellular,30,jul,172,28,-1,0,unknown,no
2386,33,technician,married,tertiary,no,16992,yes,no,unknown,29,may,58,1,-1,0,unknown,no
2724,48,services,single,unknown,no,5095,yes,no,unknown,16,jun,71,1,-1,0,unknown,no
559,47,technician,divorced,secondary,no,2914,yes,no,cellular,18,aug,405,13,-1,0,unknown,no
655,59,retired,married,primary,no,0,yes,no,unknown,26,may,104,7,-1,0,unknown,no
3836,39,technician,married,secondary,no,3663,no,no,cellular,11,aug,230,3,-1,0,unknown,no
749,43,blue-collar,divorced,primary,no,49,yes,no,unknown,9,may,100,1,-1,0,unknown,no
1166,32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,182,1,success,yes
3502,32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185,5,other,yes
108,56,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
2755,49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,unknown,no
4057,28,blue-collar,married,secondary,no,100,yes,yes,unknown,27,may,132,2,-1,0,unknown,no
506,52,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no
1426,38,entrepreneur,married,secondary,no,157,no,yes,cellular,15,may,57,11,366,1,other,no
3238,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,no
4325,53,blue-collar,married,secondary,no,-626,yes,no,cellular,9,jul,205,1,-1,0,unknown,no
2877,49,admin.,married,primary,no,169,yes,no,cellular,15,may,82,3,-1,0,unknown,no
3893,40,blue-collar,married,secondary,no,61,yes,no,unknown,7,may,112,3,-1,0,unknown,no
2936,50,unemployed,divorced,secondary,no,717,yes,no,cellular,30,jan,113,1,-1,0,unknown,no
1376,28,management,single,tertiary,no,1466,yes,no,cellular,25,jul,40,1,-1,0,unknown,no
2242,34,admin.,single,secondary,no,10,no,yes,cellular,18,nov,162,1,173,3,failure,no
1642,33,admin.,married,secondary,no,353,yes,no,cellular,19,nov,107,2,-1,0,unknown,no
3152,47,housemaid,married,primary,no,0,no,no,cellular,10,aug,1225,2,-1,0,unknown,no
3828,31,blue-collar,married,unknown,no,-120,yes,no,cellular,3,feb,100,3,201,2,failure,no
3619,47,technician,married,primary,no,145,yes,no,unknown,7,may,157,6,-1,0,unknown,no
1684,42,blue-collar,single,primary,no,1322,yes,yes,cellular,8,jul,178,1,-1,0,unknown,no
554,43,technician,single,secondary,no,11269,no,no,unknown,29,may,92,1,-1,0,unknown,no
2388,35,admin.,married,secondary,no,0,yes,no,cellular,7,may,121,2,-1,0,unknown,no
602,50,blue-collar,married,primary,no,12519,yes,no,cellular,17,apr,146,2,147,4,success,no
177,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
2517,48,blue-collar,married,unknown,no,131,yes,no,unknown,6,may,189,1,-1,0,unknown,no
1108,43,management,single,tertiary,no,146,no,no,cellular,21,nov,50,1,113,5,other,no
3078,36,blue-collar,married,secondary,no,1587,yes,no,cellular,28,jul,200,2,-1,0,unknown,no
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
3467,42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,unknown,no
193,36,services,married,secondary,no,1981,no,no,unknown,17,jun,48,2,-1,0,unknown,no
911,59,retired,married,primary,no,1427,no,no,unknown,18,jun,140,2,-1,0,unknown,no
3175,38,admin.,divorced,secondary,no,156,yes,no,unknown,17,jun,544,3,-1,0,unknown,no
178,37,unknown,married,unknown,no,1699,no,no,unknown,9,jun,63,1,-1,0,unknown,no
129,77,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
1446,32,technician,single,tertiary,no,4665,yes,no,unknown,21,may,860,2,-1,0,unknown,yes
4375,29,services,divorced,secondary,no,92,yes,no,cellular,7,may,240,1,-1,0,unknown,no
2438,39,management,married,tertiary,no,691,yes,yes,cellular,16,apr,517,1,255,1,failure,no
3289,58,management,married,tertiary,no,16264,no,no,telephone,17,nov,215,3,-1,0,unknown,no
1750,47,housemaid,single,tertiary,no,3232,no,no,telephone,6,oct,541,1,204,3,failure,no
948,48,blue-collar,single,unknown,no,428,yes,no,cellular,18,may,127,1,-1,0,unknown,no
2942,34,technician,married,tertiary,no,544,yes,yes,cellular,18,nov,58,2,-1,0,unknown,no
2930,58,blue-collar,married,primary,no,73,no,no,unknown,17,jun,116,1,-1,0,unknown,no
2060,43,blue-collar,married,primary,no,-93,yes,no,unknown,26,may,402,2,-1,0,unknown,no
1499,50,management,married,tertiary,no,-94,no,yes,unknown,25,jun,75,1,-1,0,unknown,no
4201,36,unemployed,married,secondary,no,-872,yes,yes,cellular,20,nov,153,1,183,1,failure,no
332,34,admin.,married,secondary,no,244,yes,no,cellular,31,jul,56,4,-1,0,unknown,no
577,38,management,married,tertiary,no,-558,yes,no,cellular,21,jul,533,1,-1,0,unknown,no
5,35,management,single,tertiary,no,747,no,no,cellular,23,feb,141,2,176,3,failure,no
3190,39,services,married,secondary,no,186,yes,no,cellular,17,apr,433,1,-1,0,unknown,no
389,35,services,married,secondary,no,109,yes,no,unknown,6,may,597,3,-1,0,unknown,no
4141,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure,no
2157,57,retired,married,secondary,no,523,no,yes,cellular,2,feb,49,6,-1,0,unknown,no
539,41,admin.,married,secondary,no,920,yes,yes,unknown,27,may,239,1,-1,0,unknown,no
591,39,technician,married,secondary,no,1048,no,yes,cellular,21,jul,405,1,-1,0,unknown,no
4200,49,management,single,primary,no,548,no,no,telephone,31,jul,115,6,-1,0,unknown,no
867,33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown,no
298,38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
2084,41,blue-collar,married,secondary,no,343,yes,no,unknown,14,may,89,7,-1,0,unknown,no
991,37,admin.,married,tertiary,no,3913,yes,no,cellular,27,apr,124,1,-1,0,unknown,yes
372,38,services,married,secondary,no,-140,no,no,unknown,25,jun,456,3,-1,0,unknown,no
1611,46,management,divorced,tertiary,no,1297,no,no,cellular,11,aug,716,3,-1,0,unknown,yes
786,51,management,divorced,tertiary,no,0,no,no,cellular,13,aug,60,2,-1,0,unknown,no
1846,51,self-employed,married,secondary,no,95,yes,no,cellular,23,jul,1309,4,-1,0,unknown,yes
1097,45,management,divorced,tertiary,no,2096,no,no,cellular,21,nov,127,1,100,2,failure,no
696,41,self-employed,married,tertiary,no,6000,yes,no,cellular,18,nov,265,1,-1,0,unknown,no
378,53,technician,divorced,primary,no,7290,yes,no,unknown,30,may,153,1,-1,0,unknown,no
3073,67,retired,married,tertiary,no,701,no,no,cellular,6,aug,254,2,-1,0,unknown,yes
1232,36,technician,single,secondary,no,1521,yes,no,unknown,16,jun,243,2,-1,0,unknown,no
959,37,technician,single,tertiary,no,3315,yes,no,cellular,9,apr,820,2,-1,0,unknown,no
2295,34,services,married,secondary,no,0,no,yes,unknown,2,jul,193,4,-1,0,unknown,no
3773,34,technician,married,secondary,no,47,no,no,cellular,25,aug,132,6,-1,0,unknown,no
730,38,self-employed,single,secondary,no,1146,yes,no,unknown,21,may,91,2,-1,0,unknown,no
3434,29,management,single,tertiary,no,21,yes,no,cellular,14,may,107,4,371,3,failure,no
1915,29,management,single,tertiary,no,1026,no,no,cellular,12,nov,226,1,92,1,other,yes
2638,38,blue-collar,married,primary,no,290,yes,no,cellular,16,apr,283,1,-1,0,unknown,no
3365,34,entrepreneur,married,secondary,no,1847,yes,no,cellular,9,apr,543,3,321,6,failure,no
553,42,self-employed,married,tertiary,no,1932,yes,no,unknown,16,may,192,32,-1,0,unknown,no
3129,42,blue-collar,divorced,unknown,no,0,no,no,cellular,7,jul,64,2,-1,0,unknown,no
641,56,unknown,married,unknown,no,0,no,no,unknown,20,jun,471,2,-1,0,unknown,no
3333,33,admin.,married,secondary,no,0,yes,no,telephone,17,jul,1448,7,-1,0,unknown,yes
1026,46,admin.,married,secondary,no,1069,yes,no,unknown,8,may,45,2,-1,0,unknown,no
4432,32,management,married,secondary,no,3935,yes,no,unknown,29,may,129,2,-1,0,unknown,no
56,57,management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
3112,35,management,married,secondary,no,1160,yes,no,unknown,27,may,116,3,-1,0,unknown,no
1141,46,technician,married,secondary,no,-337,yes,no,unknown,27,may,112,1,-1,0,unknown,no
3486,58,retired,married,primary,no,1987,no,no,telephone,14,jul,185,4,-1,0,unknown,no
1975,50,admin.,divorced,secondary,no,1111,yes,no,cellular,17,apr,50,1,-1,0,unknown,no
1190,54,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,yes
2982,38,technician,married,tertiary,no,1161,yes,no,unknown,8,may,665,1,-1,0,unknown,no
3393,49,technician,married,tertiary,no,279,yes,no,unknown,19,may,168,4,-1,0,unknown,no
2327,41,admin.,married,secondary,no,8238,yes,yes,unknown,30,may,124,4,-1,0,unknown,no
3623,33,blue-collar,married,primary,no,1209,yes,no,cellular,16,apr,700,1,-1,0,unknown,no
1034,36,admin.,married,unknown,no,2323,no,no,cellular,19,nov,111,1,-1,0,unknown,no
810,46,blue-collar,married,secondary,no,-216,yes,no,cellular,28,jul,404,3,-1,0,unknown,no
1345,40,management,divorced,tertiary,no,69,yes,no,cellular,6,may,503,2,280,2,failure,no
1509,42,admin.,divorced,secondary,no,936,no,no,cellular,30,jan,931,1,-1,0,unknown,yes
1820,46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,64,3,150,5,other,no
2670,46,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,239,2,259,2,failure,no
3422,39,self-employed,married,tertiary,no,1047,no,no,unknown,6,jun,554,1,-1,0,unknown,yes
1476,29,blue-collar,single,secondary,no,9,yes,no,cellular,11,may,262,3,-1,0,unknown,no
2602,25,blue-collar,married,primary,yes,-589,yes,no,unknown,3,jun,233,1,-1,0,unknown,no
1932,32,management,married,secondary,no,350,yes,no,unknown,28,may,110,2,-1,0,unknown,no
829,35,management,single,tertiary,no,714,yes,no,cellular,26,aug,135,22,-1,0,unknown,no
2859,23,blue-collar,single,primary,no,8627,yes,no,cellular,15,may,169,1,346,1,failure,no
3280,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
503,19,student,single,primary,no,103,no,no,cellular,10,jul,104,2,-1,0,unknown,yes
4419,26,technician,single,tertiary,no,75,yes,yes,unknown,19,may,351,1,-1,0,unknown,no
2078,31,self-employed,single,secondary,no,1086,no,no,cellular,20,nov,410,1,-1,0,unknown,no
2738,39,technician,single,tertiary,no,1043,no,no,cellular,18,aug,195,10,-1,0,unknown,no
1729,53,admin.,single,secondary,no,2398,yes,no,cellular,2,aug,317,1,180,2,failure,yes
883,45,entrepreneur,married,primary,no,58,yes,no,telephone,13,may,119,3,371,3,failure,no
1411,35,blue-collar,single,secondary,no,0,yes,no,cellular,16,apr,1174,1,345,4,other,yes
3549,47,blue-collar,married,primary,no,292,no,yes,telephone,28,jul,210,3,-1,0,unknown,no
1998,53,services,married,secondary,no,1378,yes,no,cellular,18,jul,91,2,-1,0,unknown,no
2701,45,technician,divorced,secondary,no,809,yes,no,cellular,13,may,155,2,363,4,failure,no
639,27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,3,-1,0,unknown,yes
1888,34,blue-collar,single,secondary,no,-72,yes,no,cellular,7,jul,273,5,-1,0,unknown,no
2634,39,housemaid,single,primary,no,109,yes,no,unknown,6,may,699,3,-1,0,unknown,no
198,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
4413,65,retired,married,primary,no,493,no,no,cellular,16,oct,622,1,182,1,failure,no
1538,50,blue-collar,divorced,secondary,no,203,yes,no,telephone,19,nov,265,1,127,4,other,no
809,34,management,married,tertiary,no,703,yes,no,cellular,14,apr,342,1,-1,0,unknown,yes
2918,29,admin.,single,tertiary,no,14,no,no,cellular,29,sep,87,1,120,1,failure,no
1165,34,blue-collar,married,secondary,no,1897,yes,yes,cellular,19,nov,441,1,-1,0,unknown,no
