age,workclass,fnlwgt,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,capital,income
25,Private,40915,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
24,Private,261561,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
31,Private,87891,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,<=50K
38,Private,213716,Assoc-voc,Divorced,Other-service,Not-in-family,White,Female,30,United-States,0,<=50K
28,Private,197113,HS-grad,Never-married,Machine-op-inspct,Own-child,Other,Male,50,Puerto-Rico,0,<=50K
46,Self-emp-not-inc,82572,HS-grad,Widowed,Other-service,Other-relative,White,Female,40,United-States,0,<=50K
52,Private,159755,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,-1887,>50K
26,Private,152452,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,50,United-States,0,<=50K
40,Self-emp-not-inc,204116,Bachelors,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,40,United-States,2174,<=50K
58,Private,190747,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,<=50K
48,Private,148995,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,45,United-States,14084,>50K
30,Private,217296,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,0,<=50K
36,Private,172256,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,United-States,0,>50K
32,Private,235124,12th,Divorced,Other-service,Not-in-family,White,Male,30,?,0,<=50K
23,Private,231160,Some-college,Never-married,Other-service,Own-child,White,Male,25,United-States,0,<=50K
21,Private,29810,HS-grad,Never-married,Other-service,Not-in-family,White,Female,50,United-States,0,<=50K
42,Self-emp-not-inc,174216,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,United-States,0,>50K
22,Private,105592,Assoc-acdm,Never-married,Transport-moving,Not-in-family,White,Male,45,United-States,0,<=50K
38,Private,99233,Prof-school,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,0,>50K
33,Private,138667,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,0,>50K
30,Private,49358,12th,Never-married,Sales,Own-child,Black,Female,40,United-States,0,<=50K
53,Local-gov,221722,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,14344,>50K
31,Private,117507,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,45,United-States,0,<=50K
20,?,249087,Some-college,Never-married,?,Own-child,White,Female,40,United-States,0,<=50K
42,State-gov,138162,Some-college,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,0,<=50K
24,?,214542,Some-college,Never-married,?,Not-in-family,White,Male,60,United-States,0,<=50K
64,Self-emp-inc,132832,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,?,20051,>50K
41,Federal-gov,56236,HS-grad,Divorced,Protective-serv,Unmarried,Black,Male,40,United-States,1506,<=50K
46,Private,185041,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,75,United-States,0,>50K
21,Private,254904,HS-grad,Never-married,Craft-repair,Not-in-family,White,Female,30,United-States,0,<=50K
25,Private,352057,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,65,United-States,0,<=50K
76,?,211574,10th,Married-civ-spouse,?,Husband,White,Male,1,United-States,0,<=50K
43,Private,113324,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,-1902,>50K
21,Private,57711,HS-grad,Never-married,Other-service,Not-in-family,White,Female,30,United-States,0,<=50K
66,Local-gov,54826,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0,<=50K
34,Private,153614,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,0,>50K
45,Private,274689,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0,<=50K
29,Private,36440,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
25,?,196627,11th,Never-married,?,Own-child,White,Male,40,United-States,0,<=50K
51,Private,146574,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0,>50K
27,Private,52028,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,40,South,0,<=50K
38,Private,173968,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,0,<=50K
34,Private,159303,Masters,Never-married,Prof-specialty,Own-child,White,Female,30,United-States,0,<=50K
38,Self-emp-not-inc,115215,10th,Separated,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
56,Private,35520,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,42,United-States,0,<=50K
32,Private,167531,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,50,United-States,15024,>50K
22,State-gov,134192,Some-college,Never-married,Tech-support,Own-child,White,Female,10,United-States,0,<=50K
38,Self-emp-not-inc,64875,HS-grad,Divorced,Farming-fishing,Not-in-family,White,Male,50,United-States,0,<=50K
19,Private,292136,Some-college,Never-married,Tech-support,Not-in-family,White,Female,30,United-States,0,<=50K
65,?,143732,HS-grad,Widowed,?,Not-in-family,Black,Female,40,United-States,0,<=50K
45,Private,102771,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
46,State-gov,193047,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,United-States,0,<=50K
41,Private,184630,Bachelors,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,4416,<=50K
34,Private,175878,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,40,United-States,0,<=50K
31,Private,29144,Some-college,Divorced,Other-service,Not-in-family,White,Male,50,United-States,0,<=50K
43,Private,200734,HS-grad,Separated,Other-service,Not-in-family,Black,Female,40,United-States,0,<=50K
32,Private,30433,Bachelors,Never-married,Tech-support,Other-relative,White,Female,72,United-States,0,<=50K
35,Private,86648,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,7688,>50K
44,Self-emp-not-inc,98106,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
35,Private,126569,HS-grad,Divorced,Craft-repair,Own-child,White,Male,20,United-States,0,<=50K
30,Private,176871,Some-college,Separated,Adm-clerical,Unmarried,Black,Female,40,United-States,0,<=50K
42,Private,96321,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,>50K
48,Self-emp-not-inc,383384,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,>50K
21,Private,43587,Some-college,Never-married,Sales,Own-child,White,Female,30,United-States,0,<=50K
57,Private,47621,9th,Married-civ-spouse,Other-service,Wife,White,Female,38,United-States,0,<=50K
17,Private,53367,9th,Never-married,Other-service,Own-child,White,Female,35,United-States,0,<=50K
33,Private,53042,12th,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,0,<=50K
18,Private,301762,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,0,<=50K
48,Local-gov,177018,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,>50K
24,Private,174043,Bachelors,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0,<=50K
46,Private,122194,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,7298,>50K
39,Private,144169,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,>50K
72,Self-emp-inc,84587,5th-6th,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,20,Japan,0,<=50K
45,Private,146857,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,38,United-States,0,>50K
52,Self-emp-inc,230919,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,>50K
27,Private,167737,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,48,United-States,0,<=50K
20,Private,291979,HS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,0,<=50K
59,?,147989,HS-grad,Widowed,?,Not-in-family,White,Female,35,United-States,0,<=50K
21,Private,353628,10th,Separated,Sales,Unmarried,Black,Female,38,United-States,0,<=50K
46,Private,175262,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,India,0,<=50K
35,Private,290226,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,<=50K
40,Private,182268,Preschool,Married-spouse-absent,Adm-clerical,Own-child,White,Male,40,United-States,0,<=50K
51,Self-emp-not-inc,205100,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,United-States,0,>50K
35,Private,182467,Assoc-voc,Married-civ-spouse,Craft-repair,Wife,White,Female,44,United-States,0,<=50K
44,Private,106982,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,70,United-States,0,<=50K
54,Private,377701,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,32,Mexico,0,<=50K
27,Federal-gov,38645,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
29,Private,258862,Bachelors,Never-married,Craft-repair,Not-in-family,White,Female,45,United-States,0,<=50K
50,Private,92969,1st-4th,Separated,Prof-specialty,Unmarried,Black,Female,40,United-States,0,<=50K
51,Private,239155,Assoc-voc,Divorced,Other-service,Not-in-family,White,Male,40,United-States,0,<=50K
48,Private,128796,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
26,Private,278916,Some-college,Separated,Handlers-cleaners,Own-child,Black,Male,20,United-States,0,<=50K
67,Self-emp-not-inc,178878,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,12,United-States,0,<=50K
55,Private,326297,HS-grad,Separated,Adm-clerical,Not-in-family,White,Female,25,United-States,0,<=50K
28,Private,441620,Bachelors,Never-married,Other-service,Not-in-family,White,Male,43,Mexico,0,<=50K
63,Private,205246,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,0,<=50K
39,Federal-gov,103984,Bachelors,Divorced,Exec-managerial,Unmarried,Black,Female,40,United-States,0,<=50K
32,Private,210926,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,38,United-States,0,>50K
31,State-gov,190305,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,<=50K
40,Private,286750,11th,Separated,Machine-op-inspct,Not-in-family,Black,Male,36,United-States,0,<=50K
20,Private,273989,HS-grad,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,<=50K
34,Private,105141,Some-college,Divorced,Adm-clerical,Own-child,White,Male,40,United-States,0,<=50K
41,Private,407425,12th,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,0,<=50K
33,Private,348152,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
35,Self-emp-inc,333636,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Male,75,United-States,0,<=50K
60,Private,372838,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
42,Private,345504,Assoc-voc,Divorced,Adm-clerical,Not-in-family,White,Female,35,United-States,0,<=50K
38,Self-emp-not-inc,140117,Some-college,Never-married,Other-service,Not-in-family,White,Female,20,United-States,0,<=50K
40,Private,137421,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,35,India,0,>50K
62,Private,96460,HS-grad,Separated,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
35,Private,219546,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,45,Germany,0,<=50K
81,Private,164416,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,0,>50K
46,Private,273796,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,65,United-States,0,>50K
22,?,374116,HS-grad,Never-married,?,Not-in-family,White,Female,36,United-States,0,<=50K
43,Private,128354,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
32,Private,356689,HS-grad,Divorced,Adm-clerical,Unmarried,White,Male,40,United-States,3887,<=50K
18,Private,184693,Some-college,Never-married,Other-service,Own-child,White,Female,20,Mexico,0,<=50K
26,Private,263444,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,United-States,0,<=50K
21,Private,92863,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
29,Private,202558,Assoc-voc,Married-civ-spouse,Tech-support,Other-relative,White,Female,40,United-States,0,<=50K
27,Private,202206,11th,Separated,Farming-fishing,Other-relative,White,Male,40,Puerto-Rico,0,<=50K
44,Private,286750,Some-college,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,0,<=50K
27,Private,209205,Bachelors,Never-married,Tech-support,Own-child,White,Male,40,United-States,0,<=50K
24,Self-emp-not-inc,186831,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Male,45,United-States,0,<=50K
28,Self-emp-not-inc,29974,Assoc-voc,Never-married,Farming-fishing,Own-child,White,Male,45,United-States,10520,>50K
53,State-gov,143822,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,36,United-States,0,>50K
19,Private,269657,Some-college,Never-married,Sales,Not-in-family,White,Female,35,United-States,0,<=50K
50,Private,150975,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0,<=50K
17,Private,266072,10th,Never-married,Other-service,Not-in-family,White,Male,20,El-Salvador,0,<=50K
45,Private,281574,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,43,United-States,6849,<=50K
24,Private,125813,HS-grad,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,45,United-States,0,<=50K
51,Self-emp-not-inc,95435,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,>50K
36,Private,20507,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,7688,>50K
29,Local-gov,220656,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,0,>50K
50,Private,337606,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,-1485,<=50K
26,Private,93017,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,<=50K
57,Private,89182,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
23,Private,131699,Some-college,Never-married,Sales,Own-child,Black,Female,14,United-States,0,<=50K
20,?,203353,Some-college,Never-married,?,Own-child,White,Female,40,United-States,0,<=50K
30,Private,110239,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,55,United-States,0,<=50K
20,Private,170800,Some-college,Never-married,Adm-clerical,Own-child,White,Female,15,United-States,0,<=50K
84,Private,188328,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,16,United-States,0,<=50K
25,?,262245,Assoc-voc,Never-married,?,Own-child,White,Female,40,United-States,3418,<=50K
38,Private,54816,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,>50K
33,Private,82623,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,48,United-States,4386,>50K
35,Private,170174,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
44,Private,374423,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,-1902,>50K
20,?,193416,Some-college,Never-married,?,Own-child,White,Female,40,United-States,0,<=50K
60,Private,420842,Assoc-acdm,Divorced,Priv-house-serv,Other-relative,White,Female,40,?,0,<=50K
34,Private,127195,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,<=50K
40,Private,201764,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
44,Federal-gov,296858,Masters,Married-civ-spouse,Armed-Forces,Husband,White,Male,40,United-States,0,>50K
18,Private,101709,HS-grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,15,United-States,0,<=50K
48,Private,316101,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0,<=50K
37,Private,112497,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
19,?,124651,11th,Never-married,?,Own-child,Black,Male,25,United-States,0,<=50K
33,Private,158688,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0,<=50K
20,?,216672,Some-college,Never-married,?,Own-child,White,Male,30,United-States,0,<=50K
50,Private,82566,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,0,>50K
38,Private,322092,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,<=50K
31,Federal-gov,108464,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0,<=50K
53,Private,104461,Bachelors,Never-married,Other-service,Not-in-family,White,Male,50,Italy,8614,>50K
35,Private,331395,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,0,<=50K
41,Self-emp-inc,32185,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0,<=50K
59,?,43103,Some-college,Married-civ-spouse,?,Husband,White,Male,40,United-States,0,<=50K
65,Private,155632,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,25,United-States,0,<=50K
44,State-gov,128586,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,40,United-States,0,<=50K
40,Federal-gov,163215,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,40,?,0,<=50K
30,?,355571,HS-grad,Never-married,?,Unmarried,Black,Female,40,United-States,0,<=50K
52,Self-emp-not-inc,209642,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,0,>50K
23,Private,244413,12th,Married-civ-spouse,Craft-repair,Husband,Black,Male,30,Ecuador,0,<=50K
44,Private,194924,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,0,>50K
43,Private,107503,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,United-States,0,>50K
62,?,181782,HS-grad,Married-civ-spouse,?,Husband,White,Male,15,United-States,0,<=50K
44,?,208726,HS-grad,Married-civ-spouse,?,Wife,White,Female,40,United-States,0,<=50K
37,Private,25864,HS-grad,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,40,United-States,0,<=50K
39,Private,127573,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
41,Local-gov,210259,Masters,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,0,<=50K
29,Private,37088,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
29,Private,227879,Assoc-voc,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,<=50K
57,?,153788,Bachelors,Married-civ-spouse,?,Wife,White,Female,45,United-States,99999,>50K
30,Private,132601,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,99999,>50K
28,Private,195573,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,0,<=50K
19,Local-gov,276973,Some-college,Never-married,Prof-specialty,Own-child,White,Female,20,United-States,0,<=50K
38,Private,91716,11th,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
23,Federal-gov,314525,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,0,<=50K
35,Private,239409,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,0,<=50K
22,Private,177125,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,50,United-States,0,<=50K
60,Private,52152,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,50,United-States,0,<=50K
18,Private,226956,HS-grad,Never-married,Other-service,Own-child,White,Female,30,?,0,<=50K
39,Private,245361,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,25,United-States,0,<=50K
70,Private,113401,10th,Widowed,Sales,Not-in-family,White,Female,40,United-States,0,<=50K
33,Private,376483,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,0,<=50K
53,Self-emp-inc,251675,Some-college,Divorced,Sales,Not-in-family,White,Male,50,Cuba,8614,>50K
29,Private,158096,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
45,Private,179135,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
46,Private,160474,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,43,United-States,-1590,<=50K
64,?,117349,HS-grad,Married-civ-spouse,?,Husband,White,Male,24,United-States,0,<=50K
56,Self-emp-not-inc,172618,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,7688,>50K
51,Private,171275,7th-8th,Divorced,Other-service,Not-in-family,Other,Male,40,Peru,0,<=50K
58,Private,172333,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,7688,>50K
25,Federal-gov,144259,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,40,United-States,0,<=50K
34,Self-emp-not-inc,198068,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
65,Private,143175,Some-college,Widowed,Sales,Other-relative,White,Female,45,United-States,0,<=50K
43,Private,37402,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,25,United-States,0,<=50K
31,Private,204052,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,<=50K
52,State-gov,303462,Some-college,Separated,Protective-serv,Unmarried,White,Male,40,United-States,0,<=50K
18,?,85154,12th,Never-married,?,Own-child,Asian-Pac-Islander,Female,24,Germany,0,<=50K
28,Local-gov,149991,Bachelors,Married-civ-spouse,Protective-serv,Husband,Black,Male,42,United-States,0,>50K
72,Private,33404,10th,Widowed,Adm-clerical,Not-in-family,White,Female,20,United-States,0,<=50K
47,Self-emp-not-inc,121124,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,>50K
72,Private,165622,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,25,United-States,0,<=50K
35,Private,98389,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0,<=50K
28,?,113635,11th,Never-married,?,Not-in-family,White,Male,30,United-States,0,<=50K
30,Private,142977,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,65,United-States,0,<=50K
39,Private,114942,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,43,United-States,0,>50K
27,Private,292472,Some-college,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,45,Cambodia,-1876,<=50K
64,?,178724,HS-grad,Married-civ-spouse,?,Wife,White,Female,20,United-States,0,<=50K
34,Self-emp-inc,175761,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,0,>50K
32,Private,185177,Assoc-voc,Separated,Tech-support,Own-child,White,Male,40,United-States,-1590,<=50K
41,Private,172712,Bachelors,Divorced,Tech-support,Unmarried,White,Female,40,United-States,0,>50K
50,Private,176609,Some-college,Divorced,Other-service,Not-in-family,White,Male,45,United-States,0,<=50K
37,Private,238802,HS-grad,Divorced,Tech-support,Not-in-family,White,Male,40,United-States,0,<=50K
68,Self-emp-not-inc,191517,Some-college,Widowed,Adm-clerical,Not-in-family,White,Male,40,United-States,0,<=50K
63,Private,114424,Some-college,Separated,Machine-op-inspct,Other-relative,Black,Female,37,United-States,0,<=50K
50,Private,767403,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,3103,>50K
46,Private,20534,Masters,Married-civ-spouse,Other-service,Husband,White,Male,20,United-States,0,<=50K
46,Federal-gov,199725,Assoc-voc,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,60,United-States,0,<=50K
22,Private,309620,HS-grad,Never-married,Sales,Not-in-family,Other,Male,45,?,0,<=50K
35,Private,217274,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,0,<=50K
29,Private,180758,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,60,United-States,0,<=50K
63,Local-gov,241404,Some-college,Divorced,Protective-serv,Not-in-family,White,Female,35,United-States,0,<=50K
31,Private,198068,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,<=50K
28,Private,278736,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0,<=50K
23,Private,181820,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,0,<=50K
74,?,29887,HS-grad,Widowed,?,Not-in-family,White,Female,10,United-States,0,<=50K
52,Private,68982,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0,>50K
58,Private,163113,HS-grad,Widowed,Sales,Not-in-family,White,Female,35,United-States,0,>50K
60,?,204486,Bachelors,Married-civ-spouse,?,Husband,White,Male,8,United-States,0,>50K
33,Private,298785,9th,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,0,<=50K
29,State-gov,89487,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
59,State-gov,100270,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,60,United-States,0,<=50K
18,Private,194561,Some-college,Never-married,Other-service,Own-child,White,Male,12,United-States,0,<=50K
42,Private,254773,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Black,Female,50,United-States,0,>50K
21,?,116934,Some-college,Never-married,?,Own-child,White,Female,40,United-States,0,<=50K
33,Private,217460,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,>50K
29,Private,186733,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,0,<=50K
40,Self-emp-not-inc,34037,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,70,United-States,0,<=50K
